order_id,customer_id,product,category,quantity,unit_price,order_date
1,C001,Laptop Pro,Electronics,1,1299.99,2023-01-05
2,C002,Python Cookbook,Books,2,39.99,2023-01-12
3,C001,Wireless Mouse,Electronics,3,29.99,2023-01-15
4,C003,Standing Desk,Furniture,1,449.99,2023-01-20
5,C002,Laptop Pro,Electronics,1,1299.99,2023-02-03
6,C004,Python Cookbook,Books,1,39.99,2023-02-10
7,C001,Mechanical Keyboard,Electronics,1,149.99,2023-02-14
8,C003,Office Chair,Furniture,2,299.99,2023-02-20
9,C005,Laptop Pro,Electronics,1,1299.99,2023-03-01
10,C004,Wireless Mouse,Electronics,2,29.99,2023-03-08
11,C002,Standing Desk,Furniture,1,449.99,2023-03-15
12,C005,Python Cookbook,Books,3,39.99,2023-03-22
13,C001,Monitor 27in,Electronics,1,399.99,2023-04-05
14,C003,Laptop Pro,Electronics,1,1299.99,2023-04-12
15,C006,Mechanical Keyboard,Electronics,1,149.99,2023-04-18
16,C002,Monitor 27in,Electronics,2,399.99,2023-05-01
17,C005,Office Chair,Furniture,1,299.99,2023-05-10
18,C006,Standing Desk,Furniture,1,449.99,2023-05-15
19,C001,Python Cookbook,Books,1,39.99,2023-05-20
20,C003,Wireless Mouse,Electronics,4,29.99,2023-06-01
21,C004,Monitor 27in,Electronics,1,399.99,2023-06-10
22,C006,Laptop Pro,Electronics,1,1299.99,2023-06-20
23,C005,Mechanical Keyboard,Electronics,2,149.99,2023-07-05
24,C002,Python Cookbook,Books,1,39.99,2023-07-12
25,C001,Office Chair,Furniture,1,299.99,2023-07-20
